sample_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	SubjectID	Location	SampleType	SampleCollectionWeek
N13_2_2	0.8700881410048721	0.05562134918779638	-1.7972262537201251	-1.6685636134969648	1.788832493361525	2.2855627874017603	0.1562313661103448	0.33025747480553885	-1.7648142679240875	-0.29169442354949054	N13	UCMC	Axilla	Week.3
N13_2_2	0.8700881410048721	0.05562134918779638	-1.7972262537201251	-1.6685636134969648	1.788832493361525	2.2855627874017603	0.1562313661103448	0.33025747480553885	-1.7648142679240875	-0.29169442354949054	ZJH_N13	ZCH	Axilla	Week.3
N13_2_3	-4.631856468683573	4.346638312184164	-5.7001976981118565	1.6808545698096464	-0.2037136278713657	-0.2142859724408987	0.8642062246934454	0.020926414681806112	-0.7977265470307853	-1.0083369268642086	N13	UCMC	Groin	Week.3
N13_2_3	-4.631856468683573	4.346638312184164	-5.7001976981118565	1.6808545698096464	-0.2037136278713657	-0.2142859724408987	0.8642062246934454	0.020926414681806112	-0.7977265470307853	-1.0083369268642086	ZJH_N13	ZCH	Groin	Week.3
N13_2_4	12.074620110446586	-0.15130910221355304	-4.4868414752085775	0.7939887649697926	1.4279594485266214	-0.9317686395814365	0.4756651546328847	-0.5415888748166504	-5.303759542483654	-3.2485478756246393	N13	UCMC	Stool	Week.3
N13_2_4	12.074620110446586	-0.15130910221355304	-4.4868414752085775	0.7939887649697926	1.4279594485266214	-0.9317686395814365	0.4756651546328847	-0.5415888748166504	-5.303759542483654	-3.2485478756246393	ZJH_N13	ZCH	Stool	Week.3
N14_1_2	-6.124369341489441	1.0469804331645731	-1.6542657749688015	-1.8087171940001068	0.42572365463730893	1.8860878935993246	-0.6459952669605016	0.6235840578219369	0.5363507855017805	0.5213267913473281	N14	UCMC	Axilla	Week.1
N14_1_2	-6.124369341489441	1.0469804331645731	-1.6542657749688015	-1.8087171940001068	0.42572365463730893	1.8860878935993246	-0.6459952669605016	0.6235840578219369	0.5363507855017805	0.5213267913473281	ZJH_N14	ZCH	Axilla	Week.1
N14_1_3	-7.4428437705085715	5.983793978963601	-5.225805496096325	1.8103541941156809	-0.494399385473355	0.0025912800677434606	0.6435759919767452	0.18739876595107574	-0.4546654068541712	-0.10019520465447282	N14	UCMC	Groin	Week.1
N14_1_3	-7.4428437705085715	5.983793978963601	-5.225805496096325	1.8103541941156809	-0.494399385473355	0.0025912800677434606	0.6435759919767452	0.18739876595107574	-0.4546654068541712	-0.10019520465447282	ZJH_N14	ZCH	Groin	Week.1
